ma_don_vi,ma_bao_cao,ma_chi_tieu,fld_code,ky_du_lieu,gia_tri
UBND.0019,10628953,CT_UBND.0056,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0056,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0056,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0057,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0057,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0057,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0057,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0058,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0058,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0058,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0058,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0059,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0059,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0059,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0059,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0060,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0060,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0060,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0060,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0061,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0061,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0061,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0061,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0062,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0062,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0062,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0062,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0063,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0063,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0063,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0063,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0064,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0064,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0064,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0064,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0065,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0065,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0065,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0065,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0066,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0066,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0066,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0066,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0067,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0067,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0067,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0067,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0068,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0068,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0068,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0068,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0069,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0069,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0069,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0069,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0070,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0070,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0070,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0070,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0071,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0071,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0071,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0071,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0072,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0072,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0072,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0072,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0073,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0073,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0073,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0073,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0074,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0074,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0074,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0074,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0075,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0075,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0075,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0075,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0076,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0076,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0076,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0076,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0077,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0077,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0077,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0077,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0078,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0078,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0078,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0078,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0079,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0079,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0079,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0079,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0080,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0080,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0080,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0080,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0081,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0081,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0081,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0081,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0082,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0082,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0082,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0082,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0083,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0083,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0083,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0083,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0084,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0084,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0084,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0084,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0085,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0085,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0085,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0085,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0086,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0086,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0086,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0086,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0087,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0087,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0087,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0087,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0088,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0088,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0088,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0088,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0089,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0089,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0089,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0089,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0090,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0090,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0090,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0090,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0091,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0091,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0091,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0091,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0092,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0092,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0092,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0092,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0093,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0093,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0093,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0093,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0094,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0094,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0094,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0094,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0095,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0095,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0095,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0095,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0096,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0096,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0096,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0096,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0097,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0097,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0097,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0097,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0098,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0098,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0098,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0098,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0099,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0099,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0099,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0099,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0100,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0100,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0100,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0100,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0101,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0101,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0101,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0101,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0102,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0102,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0102,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0102,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0103,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0103,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0103,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0103,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0104,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0104,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0104,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0104,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0105,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0105,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0105,FN04,2025-07-10,
